budget,dataset,jaccard,method,seed_left,seed_right
3,Cora,0.0,random,42,212
7,Cora,0.0,random,42,212
14,Cora,0.0,random,42,212
3,Cora,0.5,tracin_cp_graph_3,42,212
7,Cora,0.75,tracin_cp_graph_3,42,212
14,Cora,0.5555555555555556,tracin_cp_graph_3,42,212
3,Cora,0.5,tracin_cp_graph_6,42,212
7,Cora,0.75,tracin_cp_graph_6,42,212
14,Cora,0.6470588235294118,tracin_cp_graph_6,42,212
3,Cora,0.5,tracin_cp_point_3,42,212
7,Cora,0.75,tracin_cp_point_3,42,212
14,Cora,1.0,tracin_cp_point_3,42,212
3,Cora,0.5,tracin_cp_point_6,42,212
7,Cora,0.75,tracin_cp_point_6,42,212
14,Cora,1.0,tracin_cp_point_6,42,212
3,Cora,1.0,tracin_cp_simple_3,42,212
7,Cora,0.75,tracin_cp_simple_3,42,212
14,Cora,0.8666666666666667,tracin_cp_simple_3,42,212
3,Cora,1.0,tracin_cp_simple_6,42,212
7,Cora,0.75,tracin_cp_simple_6,42,212
14,Cora,1.0,tracin_cp_simple_6,42,212
3,Cora,0.2,a_grad_norm,42,2024
7,Cora,0.4,a_grad_norm,42,2024
14,Cora,0.5555555555555556,a_grad_norm,42,2024
3,Cora,0.5,b_param_hutch,42,2024
7,Cora,0.5555555555555556,b_param_hutch,42,2024
14,Cora,0.6470588235294118,b_param_hutch,42,2024
3,Cora,0.5,b_param_lissa,42,2024
7,Cora,0.5555555555555556,b_param_lissa,42,2024
14,Cora,0.75,b_param_lissa,42,2024
3,Cora,1.0,degree,42,2024
7,Cora,1.0,degree,42,2024
14,Cora,1.0,degree,42,2024
3,Cora,0.2,gt_full,42,2024
7,Cora,0.5555555555555556,gt_full,42,2024
14,Cora,0.4,gt_full,42,2024
3,Cora,1.0,gt_simple,42,2024
7,Cora,1.0,gt_simple,42,2024
14,Cora,1.0,gt_simple,42,2024
3,Cora,0.0,legacy,42,2024
7,Cora,0.0,legacy,42,2024
14,Cora,0.037037037037037035,legacy,42,2024
3,Cora,0.2,p_graph,42,2024
7,Cora,0.4,p_graph,42,2024
14,Cora,0.47368421052631576,p_graph,42,2024
3,Cora,0.2,p_point,42,2024
7,Cora,0.75,p_point,42,2024
14,Cora,1.0,p_point,42,2024
3,Cora,1.0,p_simple,42,2024
7,Cora,1.0,p_simple,42,2024
14,Cora,0.8666666666666667,p_simple,42,2024
3,Cora,0.2,r_point,42,2024
7,Cora,0.75,r_point,42,2024
14,Cora,1.0,r_point,42,2024
3,Cora,0.0,random,42,2024
7,Cora,0.0,random,42,2024
14,Cora,0.037037037037037035,random,42,2024
3,Cora,0.5,tracin_cp_graph_3,42,2024
7,Cora,0.5555555555555556,tracin_cp_graph_3,42,2024
14,Cora,0.6470588235294118,tracin_cp_graph_3,42,2024
3,Cora,0.2,tracin_cp_graph_6,42,2024
7,Cora,0.5555555555555556,tracin_cp_graph_6,42,2024
14,Cora,0.5555555555555556,tracin_cp_graph_6,42,2024
3,Cora,0.2,tracin_cp_point_3,42,2024
7,Cora,0.75,tracin_cp_point_3,42,2024
14,Cora,1.0,tracin_cp_point_3,42,2024
3,Cora,0.2,tracin_cp_point_6,42,2024
7,Cora,0.75,tracin_cp_point_6,42,2024
14,Cora,1.0,tracin_cp_point_6,42,2024
3,Cora,1.0,tracin_cp_simple_3,42,2024
7,Cora,1.0,tracin_cp_simple_3,42,2024
14,Cora,0.8666666666666667,tracin_cp_simple_3,42,2024
3,Cora,1.0,tracin_cp_simple_6,42,2024
7,Cora,1.0,tracin_cp_simple_6,42,2024
14,Cora,0.8666666666666667,tracin_cp_simple_6,42,2024
3,Cora,0.5,a_grad_norm,212,2024
7,Cora,0.5555555555555556,a_grad_norm,212,2024
14,Cora,0.6470588235294118,a_grad_norm,212,2024
3,Cora,0.2,b_param_hutch,212,2024
7,Cora,0.4,b_param_hutch,212,2024
14,Cora,0.47368421052631576,b_param_hutch,212,2024
3,Cora,0.5,b_param_lissa,212,2024
7,Cora,0.5555555555555556,b_param_lissa,212,2024
14,Cora,0.75,b_param_lissa,212,2024
3,Cora,1.0,degree,212,2024
7,Cora,1.0,degree,212,2024
14,Cora,1.0,degree,212,2024
3,Cora,0.5,gt_full,212,2024
7,Cora,0.4,gt_full,212,2024
14,Cora,0.47368421052631576,gt_full,212,2024
3,Cora,1.0,gt_simple,212,2024
7,Cora,0.75,gt_simple,212,2024
14,Cora,1.0,gt_simple,212,2024
3,Cora,0.0,legacy,212,2024
7,Cora,0.0,legacy,212,2024
14,Cora,0.16666666666666666,legacy,212,2024
3,Cora,0.2,p_graph,212,2024
7,Cora,0.5555555555555556,p_graph,212,2024
14,Cora,0.5555555555555556,p_graph,212,2024
3,Cora,0.5,p_point,212,2024
7,Cora,0.75,p_point,212,2024
14,Cora,1.0,p_point,212,2024
3,Cora,1.0,p_simple,212,2024
7,Cora,0.75,p_simple,212,2024
14,Cora,0.8666666666666667,p_simple,212,2024
3,Cora,0.5,r_point,212,2024
7,Cora,1.0,r_point,212,2024
14,Cora,1.0,r_point,212,2024
3,Cora,0.0,random,212,2024
7,Cora,0.0,random,212,2024
14,Cora,0.0,random,212,2024
3,Cora,0.2,tracin_cp_graph_3,212,2024
7,Cora,0.5555555555555556,tracin_cp_graph_3,212,2024
14,Cora,0.6470588235294118,tracin_cp_graph_3,212,2024
3,Cora,0.5,tracin_cp_graph_6,212,2024
7,Cora,0.5555555555555556,tracin_cp_graph_6,212,2024
14,Cora,0.75,tracin_cp_graph_6,212,2024
3,Cora,0.5,tracin_cp_point_3,212,2024
7,Cora,0.75,tracin_cp_point_3,212,2024
14,Cora,1.0,tracin_cp_point_3,212,2024
3,Cora,0.5,tracin_cp_point_6,212,2024
7,Cora,1.0,tracin_cp_point_6,212,2024
14,Cora,1.0,tracin_cp_point_6,212,2024
3,Cora,1.0,tracin_cp_simple_3,212,2024
7,Cora,0.75,tracin_cp_simple_3,212,2024
14,Cora,0.8666666666666667,tracin_cp_simple_3,212,2024
3,Cora,1.0,tracin_cp_simple_6,212,2024
7,Cora,0.75,tracin_cp_simple_6,212,2024
14,Cora,0.8666666666666667,tracin_cp_simple_6,212,2024
3,PubMed,1.0,a_grad_norm,42,212
7,PubMed,0.5555555555555556,a_grad_norm,42,212
14,PubMed,0.6470588235294118,a_grad_norm,42,212
3,PubMed,0.5,b_param_hutch,42,212
7,PubMed,0.75,b_param_hutch,42,212
14,PubMed,0.5555555555555556,b_param_hutch,42,212
3,PubMed,0.5,b_param_lissa,42,212
7,PubMed,0.5555555555555556,b_param_lissa,42,212
14,PubMed,0.6470588235294118,b_param_lissa,42,212
3,PubMed,1.0,degree,42,212
7,PubMed,1.0,degree,42,212
14,PubMed,1.0,degree,42,212
3,PubMed,1.0,gt_full,42,212
7,PubMed,0.75,gt_full,42,212
14,PubMed,0.6470588235294118,gt_full,42,212
3,PubMed,0.5,gt_simple,42,212
7,PubMed,0.2727272727272727,gt_simple,42,212
14,PubMed,0.4,gt_simple,42,212
3,PubMed,0.0,legacy,42,212
7,PubMed,0.0,legacy,42,212
14,PubMed,0.0,legacy,42,212
3,PubMed,1.0,p_graph,42,212
7,PubMed,0.5555555555555556,p_graph,42,212
14,PubMed,0.6470588235294118,p_graph,42,212
3,PubMed,0.2,p_point,42,212
7,PubMed,0.2727272727272727,p_point,42,212
14,PubMed,0.3333333333333333,p_point,42,212
3,PubMed,0.5,p_simple,42,212
7,PubMed,0.2727272727272727,p_simple,42,212
14,PubMed,0.3333333333333333,p_simple,42,212
3,PubMed,0.2,r_point,42,212
7,PubMed,0.4,r_point,42,212
14,PubMed,0.4,r_point,42,212
3,PubMed,0.0,random,42,212
7,PubMed,0.0,random,42,212
14,PubMed,0.12,random,42,212
3,PubMed,1.0,tracin_cp_graph_3,42,212
7,PubMed,0.5555555555555556,tracin_cp_graph_3,42,212
14,PubMed,0.47368421052631576,tracin_cp_graph_3,42,212
3,PubMed,1.0,tracin_cp_graph_6,42,212
7,PubMed,0.5555555555555556,tracin_cp_graph_6,42,212
14,PubMed,0.47368421052631576,tracin_cp_graph_6,42,212
3,PubMed,0.5,tracin_cp_point_3,42,212
7,PubMed,0.5555555555555556,tracin_cp_point_3,42,212
14,PubMed,0.75,tracin_cp_point_3,42,212
3,PubMed,0.2,tracin_cp_point_6,42,212
7,PubMed,0.4,tracin_cp_point_6,42,212
14,PubMed,0.5555555555555556,tracin_cp_point_6,42,212
3,PubMed,0.5,tracin_cp_simple_3,42,212
7,PubMed,0.5555555555555556,tracin_cp_simple_3,42,212
14,PubMed,0.75,tracin_cp_simple_3,42,212
3,PubMed,0.5,tracin_cp_simple_6,42,212
7,PubMed,0.5555555555555556,tracin_cp_simple_6,42,212
14,PubMed,0.6470588235294118,tracin_cp_simple_6,42,212
3,PubMed,1.0,a_grad_norm,42,2024
7,PubMed,0.75,a_grad_norm,42,2024
14,PubMed,0.75,a_grad_norm,42,2024
3,PubMed,0.5,b_param_hutch,42,2024
7,PubMed,0.5555555555555556,b_param_hutch,42,2024
14,PubMed,0.75,b_param_hutch,42,2024
3,PubMed,0.5,b_param_lissa,42,2024
7,PubMed,0.75,b_param_lissa,42,2024
14,PubMed,0.6470588235294118,b_param_lissa,42,2024
3,PubMed,1.0,degree,42,2024
7,PubMed,1.0,degree,42,2024
14,PubMed,1.0,degree,42,2024
3,PubMed,1.0,gt_full,42,2024
7,PubMed,0.5555555555555556,gt_full,42,2024
14,PubMed,0.75,gt_full,42,2024
3,PubMed,0.5,gt_simple,42,2024
7,PubMed,0.5555555555555556,gt_simple,42,2024
14,PubMed,0.75,gt_simple,42,2024
3,PubMed,0.0,legacy,42,2024
7,PubMed,0.0,legacy,42,2024
14,PubMed,0.0,legacy,42,2024
3,PubMed,1.0,p_graph,42,2024
7,PubMed,0.5555555555555556,p_graph,42,2024
14,PubMed,0.75,p_graph,42,2024
3,PubMed,0.2,p_point,42,2024
7,PubMed,0.4,p_point,42,2024
14,PubMed,0.5555555555555556,p_point,42,2024
3,PubMed,0.5,p_simple,42,2024
7,PubMed,0.5555555555555556,p_simple,42,2024
14,PubMed,0.75,p_simple,42,2024
3,PubMed,0.2,r_point,42,2024
7,PubMed,0.5555555555555556,r_point,42,2024
14,PubMed,0.5555555555555556,r_point,42,2024
3,PubMed,0.0,random,42,2024
7,PubMed,0.07692307692307693,random,42,2024
14,PubMed,0.12,random,42,2024
3,PubMed,0.5,tracin_cp_graph_3,42,2024
7,PubMed,0.5555555555555556,tracin_cp_graph_3,42,2024
14,PubMed,0.47368421052631576,tracin_cp_graph_3,42,2024
3,PubMed,1.0,tracin_cp_graph_6,42,2024
7,PubMed,0.5555555555555556,tracin_cp_graph_6,42,2024
14,PubMed,0.47368421052631576,tracin_cp_graph_6,42,2024
3,PubMed,1.0,tracin_cp_point_3,42,2024
7,PubMed,0.75,tracin_cp_point_3,42,2024
14,PubMed,0.8666666666666667,tracin_cp_point_3,42,2024
3,PubMed,0.5,tracin_cp_point_6,42,2024
7,PubMed,0.75,tracin_cp_point_6,42,2024
14,PubMed,0.75,tracin_cp_point_6,42,2024
3,PubMed,1.0,tracin_cp_simple_3,42,2024
7,PubMed,0.75,tracin_cp_simple_3,42,2024
14,PubMed,1.0,tracin_cp_simple_3,42,2024
3,PubMed,1.0,tracin_cp_simple_6,42,2024
7,PubMed,0.75,tracin_cp_simple_6,42,2024
14,PubMed,0.8666666666666667,tracin_cp_simple_6,42,2024
3,PubMed,1.0,a_grad_norm,212,2024
7,PubMed,0.5555555555555556,a_grad_norm,212,2024
14,PubMed,0.75,a_grad_norm,212,2024
3,PubMed,0.5,b_param_hutch,212,2024
7,PubMed,0.5555555555555556,b_param_hutch,212,2024
14,PubMed,0.47368421052631576,b_param_hutch,212,2024
3,PubMed,1.0,b_param_lissa,212,2024
7,PubMed,0.5555555555555556,b_param_lissa,212,2024
14,PubMed,0.6470588235294118,b_param_lissa,212,2024
3,PubMed,1.0,degree,212,2024
7,PubMed,1.0,degree,212,2024
14,PubMed,1.0,degree,212,2024
3,PubMed,1.0,gt_full,212,2024
7,PubMed,0.75,gt_full,212,2024
14,PubMed,0.6470588235294118,gt_full,212,2024
3,PubMed,0.5,gt_simple,212,2024
7,PubMed,0.4,gt_simple,212,2024
14,PubMed,0.47368421052631576,gt_simple,212,2024
3,PubMed,0.5,legacy,212,2024
7,PubMed,0.5555555555555556,legacy,212,2024
14,PubMed,0.6470588235294118,legacy,212,2024
3,PubMed,1.0,p_graph,212,2024
7,PubMed,0.75,p_graph,212,2024
14,PubMed,0.6470588235294118,p_graph,212,2024
3,PubMed,0.5,p_point,212,2024
7,PubMed,0.5555555555555556,p_point,212,2024
14,PubMed,0.6470588235294118,p_point,212,2024
3,PubMed,0.5,p_simple,212,2024
7,PubMed,0.5555555555555556,p_simple,212,2024
14,PubMed,0.47368421052631576,p_simple,212,2024
3,PubMed,0.5,r_point,212,2024
7,PubMed,0.5555555555555556,r_point,212,2024
14,PubMed,0.6470588235294118,r_point,212,2024
3,PubMed,0.0,random,212,2024
7,PubMed,0.0,random,212,2024
14,PubMed,0.12,random,212,2024
3,PubMed,0.5,tracin_cp_graph_3,212,2024
7,PubMed,0.5555555555555556,tracin_cp_graph_3,212,2024
14,PubMed,0.6470588235294118,tracin_cp_graph_3,212,2024
3,PubMed,1.0,tracin_cp_graph_6,212,2024
7,PubMed,0.5555555555555556,tracin_cp_graph_6,212,2024
14,PubMed,0.47368421052631576,tracin_cp_graph_6,212,2024
3,PubMed,0.5,tracin_cp_point_3,212,2024
7,PubMed,0.5555555555555556,tracin_cp_point_3,212,2024
14,PubMed,0.6470588235294118,tracin_cp_point_3,212,2024
3,PubMed,0.5,tracin_cp_point_6,212,2024
7,PubMed,0.4,tracin_cp_point_6,212,2024
14,PubMed,0.6470588235294118,tracin_cp_point_6,212,2024
3,PubMed,0.5,tracin_cp_simple_3,212,2024
7,PubMed,0.5555555555555556,tracin_cp_simple_3,212,2024
14,PubMed,0.75,tracin_cp_simple_3,212,2024
3,PubMed,0.5,tracin_cp_simple_6,212,2024
7,PubMed,0.5555555555555556,tracin_cp_simple_6,212,2024
14,PubMed,0.75,tracin_cp_simple_6,212,2024
